entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-05-14 13:00:00,2009-05-14 19:00:00,SHORT,VOLATILE,Cautious Mean Reversion,928.3,926.5,0.10087847134529028,0.1815812484215179,Regime Change,1003.5212552122136
2009-05-14 20:30:00,2009-05-15 00:30:00,LONG,VOLATILE,Cautious Mean Reversion,925.93,927.43,0.2490928084397416,0.3736392126596124,Target Hit,1003.8948944248733
2009-05-15 08:30:00,2009-05-15 16:30:00,LONG,TRENDING,Momentum Breakout,927.83,932.0,0.13382679414592383,0.5580577315884969,Regime Change,1004.4529521564618
2009-05-18 08:00:00,2009-05-18 09:00:00,LONG,VOLATILE,Cautious Mean Reversion,929.03,931.73,0.11591908516658257,0.31298152994977824,Target Hit,1004.7659336864116
2009-05-18 09:30:00,2009-05-18 17:30:00,SHORT,TRENDING,Momentum Breakout,922.38,917.7,0.07823776366964644,0.36615273397394144,Regime Change,1005.1320864203856
2009-05-18 23:00:00,2009-05-19 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,922.35,924.93,0.14917562486272912,-0.38487311214583025,Stop Loss,1004.7472133082398
2009-05-19 12:00:00,2009-05-19 21:00:00,SHORT,VOLATILE,Cautious Mean Reversion,927.28,926.88,0.0951649593483829,0.038065983739350995,Regime Change,1004.7852792919791
2009-05-20 00:30:00,2009-05-20 04:30:00,SHORT,RANGING,Mean Reversion,927.43,929.58,0.1516625475961326,-0.32607447733169886,Stop Loss,1004.4592048146475
2009-05-20 04:30:00,2009-05-20 06:30:00,SHORT,VOLATILE,Cautious Mean Reversion,929.58,931.73,0.18813947515724275,-0.4044998715880676,Stop Loss,1004.0547049430594
2009-05-20 06:30:00,2009-05-20 08:30:00,LONG,TRENDING,Momentum Breakout,931.73,929.43,0.1656649636032298,-0.38102941628743986,Stop Loss,1003.673675526772
2009-05-20 09:30:00,2009-05-20 15:30:00,LONG,TRENDING,Momentum Breakout,938.28,938.98,0.08674952981754779,0.060724670872287397,Regime Change,1003.7344001976443
2009-05-20 22:00:00,2009-05-21 03:30:00,SHORT,VOLATILE,Cautious Mean Reversion,942.13,940.98,0.17199010437735862,0.1977886200339585,Regime Change,1003.9321888176783
2009-05-21 08:00:00,2009-05-21 11:00:00,LONG,VOLATILE,Cautious Mean Reversion,938.18,941.63,0.1275973453591035,0.4402108414889129,Target Hit,1004.3723996591672
2009-05-21 12:00:00,2009-05-21 19:30:00,LONG,TRENDING,Momentum Breakout,946.6,953.15,0.0829953643532064,0.5436196365134981,Regime Change,1004.9160192956807
2009-05-22 01:30:00,2009-05-22 05:30:00,LONG,VOLATILE,Cautious Mean Reversion,951.8,953.08,0.18490223096428224,0.23667485563429724,Target Hit,1005.152694151315
2009-05-22 06:30:00,2009-05-22 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,955.68,957.7,0.1625888455132793,-0.3284294679368397,Stop Loss,1004.8242646833781
2009-05-24 20:00:00,2009-05-24 22:30:00,LONG,VOLATILE,Cautious Mean Reversion,956.08,954.25,0.17621090370919396,-0.32246595378783216,Stop Loss,1004.5017987295903
2009-05-24 22:30:00,2009-05-25 11:00:00,LONG,VOLATILE,Cautious Mean Reversion,954.25,957.68,0.2012511351821896,0.6902913936749002,Target Hit,1005.1920901232652
2009-05-25 11:00:00,2009-05-25 21:30:00,SHORT,VOLATILE,Cautious Mean Reversion,957.68,954.68,0.2886211602356336,0.8658634807069008,Target Hit,1006.0579536039721
